"Tag","Text"
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 57","https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec"
"Title: Siemens Center of Excellence inaugurated at PEC | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) in collaboration with M/s Siemens Industry software (India) Pvt. Limited (SISW) and its partner M/s MTAB Technology Center Private limited (MTC) established a Center of Excellence (CoE) at PEC."
"p","Shri. V.P. Singh Badnore, Governor of Punjab and the Administrator U.T. Chandigarh and Smt Kirron Kher, MP Chandigarh inaugurated the centre on 17th December in the presence of Mr. Matthew Thomas, Country Head Siemens, Shri Rajinder Gupta, Chairman BoG PEC, Dr Dheeraj Sanghi, Director of PEC and other esteemed government officials."
"p","This world-class skill development center is dedicated to the area of automation, energy and manufacturing and has state of the art facilities and covers a total area of 1600 square feet. The idea originated from the need to align engineering education with the latest industry trends and practices, better vocational training and interaction with industry, upgradation of tools, laboratories and faculty skills as well as inclusion of latest engineering concepts into academic curriculum structure."
"p","In his welcome address, Dr Dheeraj Sanghi thanked the guests for gracing the occasion and highlighted the benefits of the new facility for the students, faculty and industry. He proudly presented this center of excellence as an instrument to upgrade the present curriculum with the latest technology."
"p","Mr Matthew Thomas, Country head, Siemens substantiated on the importance of the Center of Excellence and said that it will create an ecosystem of innovation and add to the hub for research and academia partnerships. In the world where lines between all fields of engineering are blurring, it will close the skill gap."
"p","Governor of Chandigarh, V.P. Singh Badnore applauded PEC for not only its historic contribution towards the technological development of the region but also its wonderful alum base who has been excelling in various spheres. He also appreciated the faculty and administration for various new initiatives and promised to extend all the support required to convert PEC into a centrally funded institute. He encouraged the college to strengthen its connect with the alumni network and seek support from them through various programmes."
"p","He is confident that the college, which has been one of the oldest and finest institutes in the country with a proud legacy of nearly 100 years, is currently in great hands which will lead the institute to a bright future."
"p","Features of the Center Of Excellence:"
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 58","https://pec.ac.in/donations/distinguished-alumnus-award"
"Title: Distinguished Alumnus Award | Punjab Engineering College (Deemed to be University), Chandigarh"
"p","The true measure of a contribution of an institution to the society and nation is the achievements of its alumni. PEC is globally known to develop leaders in Technology, Entrepreneurial endeavour and for the service to the society. A large number of alumni have gained unique distinction through success in their professions, contribution to their communities and their services to the globe. The University has instituted Distinguished Alumnus Award and Young Alumnus Award to recognize and honour outstanding alumnus/alumna."
"p","Nominees must have graduated from PEC. A graduate (alumnus) of PEC is defined as an individual who has completed and been awarded one or more degrees from the Institute."
"p","Nominations for consideration of ‘Distinguished Alumni Awards’ and ‘Young Alumnus Award’ may be invited from all over the world and any PEC alumnus can make nomination for consideration. Self nominations are discouraged."
"p","Young Alumnus Award will be for alumnus under the age of 40 (as on 30th September 2020) for achieving excellence in early stages of their career."
"p","The awards can be applied in any of the below mentioned categories:"
"p","Nominations for the awards shall be invited from anybody including students, alumni, faculty, and staff of the institute. Nomination is a simple online process and is expected to take only a few minutes of time by clicking on the link below. It involves providing some basic information and uploading a CV of the nominee that highlights all her/his achievements that may make her/him a deserving recipient of the award."
"p","The person nominating must, therefore, first prepare this document for uploading that amply showcases the achievements of the alumnus with relevant detail before starting the nomination process by clicking on the link."
"p","The process of inviting nominations of ‘Distinguished Alumnus Award and Young Alumnus Award’ for the year 2020 is now open."
"p","If you have any queries, please contact the Dean Alumni, Corporate and International Relations at 0172-2753244 or email to deanalumni@pec.edu.in"
"p","The nomination process closes on 30th September 2020."
"p","The nominations received will be processed by the Dean’s Alumni office and then an empowered committee comprising eminent representatives from the stake holders of the institute would prepare the final list of awardees."
"p","The award includes a citation, a Medal and a Certificate. The award will be announced on the Annual Foundation Day celebration of the Institute and the award ceremony will be held whenever the Covid situation would allow us."
"p","We do understand the time constraints you work under. Keeping this in mind we have kept the nomination form as simple as possible to enable you to fill and “Submit” it in a single sitting. This should not take more than 15 minutes of your time. Kindly ensure that you enter your current email address correctly."
"p","Click Here for Nomination Form"
"Url: 59","https://pec.ac.in/events/oldest-alum-attendance-homecoming-2020"
"Title: Oldest Alum in attendance at Homecoming: 2020 | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (deemed to be university) welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet of the college, today. Having served as the Chief Engineer of Patiala from 1971 till his retirement in 1981, Mr. Bikram has been a name to be reckoned with in the Punjab Public Works Department."
"p","After graduating from Punjab Engineering College formerly known as Mugalpura Engineering College, Lahore, in 1943,Mr.Bikram has gone on to achieve many great feats in life, including working in various capacities at the engineering sub-division. Homecoming 2020, served an opportunity for the 97 year old to celebrate his birthday today with his juniors and reminisce about his time here, marking the glorious transition of PEC from its humble origins in Lahore into newer times."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 60","https://pec.ac.in/events/mou-signed-between-pec-and-peda"
"Title: MOU Signed Between PEC and PEDA | Punjab Engineering College"
"p","Quick Links"
"p","A Memorandum of Understanding was signed between Punjab Engineering College (Deemed to be University), Chandigarh and Punjab Energy Development Agency (PEDA) for Research and Development Projects on Energy Conservation & Energy Efficiency under “State Energy Efficiency Research & Outreach programme” of Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","The MOU was signed by Dr. Dheeraj Sanghi , Director, PEC and Sh. Navjot Pal Singh Randhawa, IAS, Chief Executive,PEDA/MD,PGL today, on 19 December 2019 at the Office of Punjab Energy Development Agency ,Chandigarh, in the presence of Sh. M.P. Singh, General Manager,PEDA, Dr. Tarlochan Kaur , Chairperson , Center for Energy Studies, PEC; Dr. J D Sharma , Assoc. Dean, Alumni & International Affairs PEC and Sh. Balkar Singh, Assistant General Manager PEDA ,"
"p","The mission objective of this MOU is to work on research on innovative projects in the field of energy conservation/efficiency like Energy Modelling and Simulation, Monitoring and benchmarking of buildings, Net Zero energy buildings. Research and development of energy efficient technologies in industries, technology upgradation to optimise power consumption and research on energy management and its implementation in various thrust areas are its extended objectives."
"p","It is further agreed that Punjab Engineering College will submit R&D proposal on energy conservation and efficiency to PEDA which, after review will be submitted to BEE for approval. The financial assistance/funding of the proposal, once approved, shall be provided by BEE to PEDA which shall further disburse it to the institute as per its guidelines."
"p","The role of the institute is to publicise the program locally, ensure adequate participation, provide strategic research support and direction for the development of R&D projects. The institute will further facilitate PEDA interaction through involvement of researchers through Research institutes/laboratories; and joint hosting of Conferences, Training Courses/workshops."
"p","The MOU that was signed today will mark the beginning of what is hoped will be a long and fruitful collaboration, for promoting energy efficiency and energy conservation and bridge the gap between theory and field through technical inputs at onsite locations."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 61","https://pec.ac.in/events/98th-foundation-day"
"Title: 98th Foundation Day | Punjab Engineering College"
"p","Quick Links"
"p","Punjab Engineering College (Deemed to be University) has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college, which started with a lamp lightning ceremony. Chief guest Director, PEC, Dr. Dheeraj Sanghi, ex-Directors Vijay Gupta and Manoj Datta shared the podium with Dr. Divya Bansal. The Chief Guests also included Dr. Siby John (Deputy Director) and Dr. Sushant Samir (Registrar)."
"p","The lamp lighting ceremony was followed by the Director’s speech, where he started off by wishing Punjab Engineering College, a very happy 98th Birthday. He highlighted his vision for the University and re-emphasized his plans to promote internships and taking up transferred semesters in various institutions and universities to gain lots of exposure, something which is lacking in a lot of graduates of recent time. He also highlighted that Punjab Engineering College has the ‘top 1%’ of students, and inherently it becomes the responsibility of the University to provide them with apt care, attention and opportunities. His moto, change India by taking one step at a time, was highlighted to seek as much help, and as much experience as one possibly could, as it is only then that you learn."
"p","He then introduced Dr. Vijay Gupta, and elucidated that they both had a similar vision of what they wanted PEC to be. Dr. Gupta began on a light and yet an emotional note, stating that he was surprised he needed a microphone, as he had taken many a lecture in the same hall, behind the same podium, to an Auditorium full of students, without ever needing a mic. His golden rule, he stated, was that he believed in making many mistakes, but he’d rather err while experimenting than practicing. He too recognized the fact that providing a good student experience was paramount above all things. He then talked about how India still follows a science-based education system which is out of touch with our time and requirements. His speech was supplemented by Dr. Dutta. He opened his speech with a remarkable idea of ‘Free and Unrestricted Choice for Education’ and emphasized on continuous self-evaluation as a key to success. His main idea was that the University should take examples from other institutions, but never try to copy or clone them, the variance that a University provides over other institution is what attracts people. He also stated his idea about restructuring the M.Tech programs and provide more focus on them. His ideas to promote the entrepreneurship and start-ups in India were vivid and he highlighted the errs in using the ranking system for colleges and how they may be inaccurate and might lose their purpose."
"p","A dance performance by the Dramatics Club of PEC, and a video entailing the history of PEC and its highlights helped to raise the energy in the room."
"p","The event ended by Dr. Divya Bansal thanking all dignitaries and students present there for helping make this day truly memorable."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 65","https://pec.ac.in/donations/"
"Title: Contribute Now | Punjab Engineering College (Deemed to be University), Chandigarh"
"p","The major concern is that when the institute opens for the next semester, several of PEC students would face economic hardships. Due to lockdown and consequent economic slowdown, we suspect that parents of many students would lose their jobs or have substantially reduced earnings. A couple of students have already approached us in this regard. We seek your contributions so that we can help such students. We encourage and gladly accept all gifts, no amount is too small."
"p","Punjab Engineering College Chandigarh is looking to establish several scholarships for its students through philanthropic contributions. Currently, an undergraduate student spends roughly Rs. 2.5 lakhs a year on tuition, lodging and boarding. It is desirable that a scholarship provides some reasonable financial support compared to the total expenditure of the student. Hence, it has been decided that the minimum amount of scholarship that can be established at PEC will be Rs. 50,000 per annum. Donors may wish to establish scholarships with larger amounts."
"p","Donation can be targeted towards the development and upkeep of a hostel or a similar facility. A hostel corridor or common facilities used by students can be adopted by a group/batch of alums and alums, as donors can ensure maintenance and upkeep of that room by contributing a decent amount."
"p","Make Donation"
"Url: 66","https://pec.ac.in/jobs/job-19-7-18/details"
"Title: Rolling Advertisement | Punjab Engineering College"
"p","Quick Links"
"p","Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 67","https://pec.ac.in/events/voyager-program-details"
"Title: Voyager Program | Punjab Engineering College"
"p","Quick Links"
"p","VOYAGER PROGRAM"
"p","Description: The aim of the institution always remains to focus on the students’ overall development, whether it’s technical skills, cultural activities’ participation or academic skill set. With the same objective in mind, The Voyager Program introduces a new experience for the students of Punjab Engineering College (Deemed To Be University) giving them an opportunity for a holistic personality development."
"p","The program involves students visiting various Indian states during the summer break in groups of 3 (up to a maximum of 5 groups) allowing them to explore the country and the various communities and cultures that exist within. It involves students exploring the diverse corners of the country with minimal materialistic requirements, focussing on and diving into the beautifully diverse places, people and living conditions."
"p","Purpose: The objective of this program is to expose the students to the widely varying living conditions, cultures, values, traditions, beliefs, climate, and geographical conditions all over the country. It aims to engage students with different aspects of life by divulging them into raw social interaction giving them perspective into communities, people and difference in characteristics. It teaches them the importance of experience rather than materialistic things as they have to travel and stay in minimal living conditions in unfamiliar territories. It introduces them to circumstances where they have to enter into dialogue with people from different walks of life."
"p","The biggest take away from the program is gaining a perspective on life and the realisation of what things matter to them in life, their ambitions and an opportunity to break socially constructed aspirations. It is an attempt to instil qualities such as inquisitiveness, curiosity, retrospection, compassion and commitment in the fellows."
"p","The program is not a tourist experience; it’s a journey of exploring where the fellows will be discovering the country rather than enjoying a vacation. They will enter unknown territories and unknown adventures. The aim is for them to discover themselves during the process of discovering the country."
"p","Guidelines: The program is governed by the following general guidelines:"
"p","Report: The teams will have to submit a detailed report of their 30-40 day journey, featuring every location, duration, their learning, take away and experience. Formulation of the trip around a theme, describing anecdotes, friends etc. are some things that the recollection of the trip can contain."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 68","https://pec.ac.in/events/dr-sanjeev-kumar-pec-india-2020-top-cited-paper-award"
"Title: Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award | Punjab Engineering College"
"p","Quick Links"
"p","Dr. Sanjeev Kumar, Applied Science Department has received the INDIA 2020 TOP CITED PAPER AWARD for article “Sr and Mn co-doped sol-gel derived BiFeO3 ceramics with enhanced magnetism and reduced leakage current” Nandni Sharma et al 2017 Mater. Res. Express 4 015702. The Top Cited Paper Award is for corresponding authors from India, for work published across the entire IOP Publishing portfolio in the past three years (2017 to 2019), using citations recorded in Web of Science. The papers are in the top one per cent of the most-cited articles in each subject category along with the most-cited review article published in the last three years."
"p","In this article, Sanjeev Kumar and his co-authors reported the effect of Sr and Mn doping on the electrical and magnetic characteristics of BiFeO3 nanoparticles, synthesized by sol-gel technique. They observed that Sr doping in BiFeO3 showed substantial reduction in the leakage current whilst co-doping with Sr and Mn led to lower reduction in the leakage current through offering better performance over undoped BiFeO3, due to changes brought in the defect physics upon doping. Additionally, Sr and Mn co-doped BiFeO3 samples exhibit enhanced magnetization in comparison to undoped and Sr doped BiFeO3, possibly due to interruptions in the spin cycloid of BiFeO3."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 69","https://pec.ac.in/events/online-short-term-course-stc-smart-functional-materials-emerging-applications"
"Title: Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications | Punjab Engineering College"
"p","Quick Links"
"p","TEQIP-III sponsored Online Short Term Course (STC) on “Smart Functional Materials for Emerging Applications” was organized by Department of Applied Sciences, Punjab Engineering College (Deemed to be University) from 19-21 August, 2020. The STC was coordinated by Dr. Sonu Kumar, Dr. Veeranna Yempally and Dr. Prem Lata with the primary objective of enriching the participants with the basic concepts and current knowledge of scientific advancements in the area of functional materials and polymers having unique properties, and promising applications, for e.g. towards catalysis, renewable energy, sensors, nanotechnology, biomedicine, etc.. Around 150 participants (faculty members and research scholars) from various universities/institutes across the country registered for this event and the lectures were delivered by eminent speakers from IIT, IISER, CSIR lab and other University/Institute of national repute."
"p","The event started with the welcome address by Prof. Dheeraj Sanghi (Director, PEC) in presence of Prof. Harminder Kaur (Head, Applied Science Dept. and convener of this STC) and Prof. Arun K. Grover (Emeritus Professor, Applied Science Dept. and Former Vice-Chancellor, Panjab University). Prof. Sanghi appreciated the efforts of course coordinators and the organizing committee for creating such platform comprised of eminent speakers and broad audience from reputed institutes/universities."
"p","Prof. Amitava Patra (Director, INST Mohali) inaugurated the event and delivered the first lecture of the STC on nanomaterials for efficient light harvesting systems. He discussed on luminescent nanomaterials for photonic applications and fluorescence energy transfer of quantum dots, and metal nanoclusters. Then, Dr. Venkataramanan Mahalingam (Professor, IISER Kolkata) delivered a talk on colloidal lanthanide-doped luminescent nanocrystals and further emphasized on their applications such as molecular sensing, photocatalysis and bioimaging. In the closing lecture of day 1, Dr. Ashootosh Ambade (Principal Scientist, CSIR-NCL, Pune) discussed with the participants about the synthesis and applications of end-functionalized polymers and dendritic polymers."
"p","Prof. Sabu Thomas (Vice-Chancellor, Mahatma Gandhi University, Kottayam) delivered the first session lecture of day 2 and shared his research works with the participants on interfacial modification in nanocomposites to tailor functionalities. He elaborated on hybrid polymer nanocomposites, thin films and fiber materials derived from natural resources. Then, Dr. Uttam Manna (Associate Professor, IIT Guwahati) delivered his talk on design of durable bio-inspired wettability in particular superhydrophobic materials for prospective outdoor applications. Dr. Narinder Singh (Associate Professor, IIT Ropar) discussed on his lecture over the design and synthesis of nanomaterials for sensor development. In the closing lecture, Dr. Pradip Paik (Associate Professor, IIT BHU) delivered his talk on design and engineering of polymeric nanocapsules and discussed for their stimuli-responsive systems for drug delivery application."
"p","Prof. S. Anantha Ramakrishna (Director, CSIR-CSIO, Chandigarh) started the 3rd day of the event by delivering his talk on active switchable metamaterials and discussed about their microwave and infra-red applications in the defence sector. Then, Prof. Prakash Wadgaonkar (Emeritus Scientist, CSIR-NCL, Pune) introduced to the participants about the synthesis of functional polymers and their complex architectured materials. Subsequently, Dr. Ashish Pal (Associate Professor, INST Mohali) delivered his lecture on biomimetic functional supramolecular materials and elaborated their structural precision to diverse applications. The last lecture on the closing day of the STC was delivered by Prof. Amitava Das (Professor, IISER Kolkata and Former Director, CSIR-CSMCRI, Bhavnagar) on the topic of stimuli-responsive assemblies for predictive responses. He further explained about the polymeric capsule based systems to meet their biomedicinal applications. The feedback from all the participants regarding the content and quality of the sessions were impressive and satisfactory. The organizing committee based on the feedback received from participants firmly believes that the audience has gained and enriched their knowledge in the field of functional materials and potential applications."
"p","The event was finally concluded with the vote of thanks where the coordinators of the STC acknowledged and expressed their gratitude to all the invited speakers for sharing their research experiences, to Prof. Dheeraj Sanghi (Director, PEC) and Prof. Harminder Kaur (Head, Applied Science Dept.) for their full support, Dr. Sanjay Batish (TEQIP coordinator) for financial support, Ms. Navdeep Kaur for technical support, and to all the participants to make this event very successful."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 70","https://pec.ac.in/events/webinar-ansys-high-frequency-application-5g-antenna"
"Title: Webinar on ANSYS High Frequency Application in 5G Antenna | Punjab Engineering College"
"p","Quick Links"
"p","The department of Electronics and Communication Engineering at Punjab Engineering College (Deemed to be University), Chandigarh has organized a webinar on ANSYS high frequency application in 5G antenna on July 31, 2020. The event was organised in technical collaboration with IEEE Chandigarh Subsection & IEEE APS & CRFID, Delhi Section and with industrial partner ARK Infosolutions, the Elite channel partner of ANSYS. More than 125 participants from various Universities, Research organizations and Industries from India and abroad attended the webinar. The event was coordinated by Prof. Arun Kumar Singh with an objective to provide an insight about the different computational solvers present in HFSS and gain a deep insight into how using the simulation with the appropriate solver helps in reducing the design cycle time. Additionally, such softwares may be utilised to the recent trends in communication (5G) and how ANSYS helps in simplifying the design challenges."
"p","Mr. Akash from ARK Infosolutions delivered the webinar focused on on ANSYS high frequency application in 5G antenna. He started with a brief introduction to 5G paradigm change and further discussed about 5G key enabling technology. Thereafter, he explained about antenna designs and modelling with sub-6 GHz designed multi-band antennas using HFSS and array antennas for 5G applications. He also demonstrated to design single element antenna utilizing HFSS antenna toolkit, and model the unit cell to approximate an infinite array."
"p","The webinar was highly enlightening particularly for the researchers to understand the technological innovations in antenna design technology. A feedback session was also conducted where various participants shared their views about the event."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 71","https://pec.ac.in/events/two-days-workshop-advanced-functional-materials-wafm-2020"
"Title: Two Days Workshop on Advanced Functional Materials (WAFM-2020) | Punjab Engineering College"
"p","Quick Links"
"p","TEQIP III sponsored two days workshop on “Advanced Functional Materials (WAFM-2020)” was organized ONLINE by Department of Applied Sciences, Punjab Engineering College (Deemed to be University) from 25-26 July, 2020. More than 200 participants from various institutes registered for the workshop. The workshop was coordinated by Dr. Sanjeev Kumar with an idea of providing deep understanding into the knowledge of functional materials and their device applications like energy harvesting, supercapacitors, ferroelectrics, green energy cooling ad device fabrication for military, space and defense applications."
"p","The event was inaugurated by Prof. Arun Kumar Grover, Raja Ramanna Fellow, PEC in the presence of Prof. Harminder Kaur, Head, Dept. of Applied Sciences, Dr. Sanjay Batish, Coordinator, TEQIP-III. Prof. A.K. Grover appreciated the efforts of course coordinator and the organizing committee for the eminent speakers from IITs, DRDO labs etc. to deliver the talk on different aspects of materials science. He further share his experience on functional materials during his tenure at TIFR, Mumbai."
"p","On day 1, Dr. Suvankar Chakraverty from INST Mohali, deliver the talk on Quantum materials and technology: Berry's phase, SdH oscillation, Planner Hall effect with covering very basic points about magnetoresisitance and hall effect. Then, Prof. Ashish Garg, IIT Kanpur deliver his talk on defect chemistry in oxides and effect on oxide properties, with covering the types of defects. Dr. M.M. Shaijumon, IISER Trivandrum ,deliver the talk on electrochemical capacitors: recent advances. He further emphasized on the latest development of hybrid supercapacitor to meet future energy requiremnets"
"p","On day 2, Dr. Praveen, ARDE Pune, deliver his lecture on energy storage and defence applications of piezoelectric materials and the challenges while fabricating these devices for space and military applications. Dr. Prateek ,IIT Kanpur, delivered his lecture on nanostructured composites of ferroelectric and polymer phases for high energy storage applications. Dr. O.P. Thakur, SSPL New Delhi, delivered his talk on ferroelectric ceramics processing and optimization with details on processing techniques and device applications of these materials in military applications. Dr. Gyaneshwar Sharma, TD College, Jaunpur delivered his talk on ferroelectric applications in green cooling and ambient energy renewal. He concluded his talk with emphasis on utilization of these materials for refrigeration processes."
"p","After the last session, Dr. Sanjeev Kumar expressed gratitude to Prof. Dheeraj Sanghi, Director, Prof. A.K. Grover, Raja Ramanna Fellow, Prof. Harminder. Kaur, Head Applied Sciences, Dr. Sanjay Batish, TEQIP coordinator, Sh. Sushil Kumar for technical support, invited speakers, participants and the whole team working for the organization of this event."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","All Top Stories"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"Url: 72","https://pec.ac.in/events/online-short-term-course-nanotechnology-electronic-and-photonic-devices-nanodev-2020"
"Title: Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020) | Punjab Engineering College"
"p","Quick Links"
"p","An online short term course on Nanotechnology for Electronic and Photonic Devices (NanoDev-2020) was organized by department of Electronics and Communication Engineering, Punjab Engineering College (Deemed to be University), Chandigarh in technical collaboration with IEEE Chandigarh Subsection and Indian Society of Systems for Science and Engineering (ISSE) Chandigarh Chapter from June 15-19, 2020. More than 650 participants from various Universities, Research organizations and Industries from India and abroad registered for the course. The event was coordinated by Prof. Arun Kumar Singh with an objective to provide an insight to understand and utilize the unique properties and interaction of novel materials, their physics and chemistry for the design and development of state-of-the art next generation electronic and photonic devices to meet the needs of relevant industry, space, defense and research organization."
"p","The event was kicked off by Prof. Dheeraj Sanghi, Director, PEC in the presence of Prof. Neelu Jain, Head, Dept. of Electronics and Communication Engineering, Prof. Neena Gupta, Chairperson, IEEE Chandigarh Subsection, Dr. Manish Hooda, Scientist SCL Mohali and Secretary, ISSE Chandigarh Chapter and Dr. Sanjay Batish, Coordinator, TEQIP-III. Prof. Sanghi appreciated the efforts of Course coordinator to rope-in eminent speakers from leading research universities, defense and space laboratories and industries to deliver talks on different nano-electronic and photonic technologies. He further encouraged the participants for responsible development of products based upon such technologies to meet out the most pressing human and societal needs."
